question_id,time_stamp,time_spent_min,misc_1a,misc_1b,misc_1c,misc_2a,misc_2b,misc_3a,misc_3b,misc_3c,misc_4a,misc_4b,misc_5a,misc_6a,seq
1,11/25/22,10.8,52,39,46.6,60.8,81.1,3.4,51.4,53.4,54.4,56.4,51.6,76.3,1
2,11/27/22,8.3,42.3,31.1,44.3,31.2,27.9,26.3,90.4,52.2,74.6,24.3,52.5,43.1,2
3,11/30/22,4.4,48.6,87.2,56.1,72.8,44.1,25.2,66.9,43.1,60,92.5,37.6,61.2,3
4,12/2/22,19.3,59,91.3,26.2,59.8,63.7,50.2,32.3,56.9,33.6,44.7,32.6,49.9,4
5,12/3/22,18.7,67.7,93.4,50.2,11.5,36.2,36.8,66.4,53.6,43.3,33.5,77.6,27.5,5
6,12/6/22,3.2,36.9,30,54.8,29,64.1,72.8,37.3,70.6,54.3,72.6,67.8,25.1,6
7,12/7/22,19.6,35.8,33.1,45.1,61.6,84.6,24.9,74.5,41.6,58.2,93.2,33.9,47.3,7
8,12/9/22,1.1,79,47.8,28.8,90.3,29.9,59.7,55.5,54.8,35.8,63.4,47.2,66.7,8
9,12/11/22,8.5,46.9,54,39.2,65.4,87.2,24.1,70.7,61.3,80.5,77.1,45.9,52.5,9
9,12/11/22,8.5,97.2,91.6,76.4,64.4,78,99.7,80.4,79,71.2,83.8,67.7,90.9,10
10,12/12/22,8.8,81.5,35.7,59.9,47.6,79.4,68.5,43.3,52.4,70,53.9,13.3,52.9,11
11,12/14/22,12.2,52.6,18.8,39.7,38.9,38.7,46.4,54.1,45.5,69.4,24.6,53.6,64,12
12,12/15/22,4.9,88.1,43.2,54.3,53.4,53.5,77.9,73.2,42.4,60.2,28.1,73,78.3,13
13,12/16/22,2.3,39.6,34.2,51.1,39.9,84.9,32.2,56.8,51.2,52.9,76.3,53.9,69.2,14
14,12/17/22,2.6,42,44,54.4,62.1,36.2,59.8,50.7,32.1,49.2,61.5,82.4,66.8,15
15,12/18/22,8.3,67.2,69.7,69.4,23,41.5,44.8,25,42.7,20.8,52.4,31.8,35.9,16
15,12/18/22,8.3,74.7,66.1,60.9,63.3,73.7,74.5,67.2,81.1,79.7,78.9,78,92.8,17
16,12/20/22,12.8,46.4,46,55.2,54.8,27.9,43.3,53.2,75.1,80.5,29.2,43.2,69.7,18
17,12/24/22,16.3,42.2,56.1,14.6,44.9,57.7,70.3,58.3,43.6,59,58.4,38.6,43.2,19
18,12/26/22,19.2,46.8,45.8,43.5,45.2,55.5,50.7,49.9,67.8,35.9,37.3,86.2,76.3,20
19,12/28/22,3.3,69.2,20.8,48.3,35.9,51,46.7,51.1,39.7,65.7,73.1,47.3,24.9,21
20,12/30/22,19.2,52.5,22.1,23.9,18.8,45.6,27.9,73.2,46.1,36,40.8,24.7,78.2,22
20,12/30/22,19.2,82.3,77.8,79.6,85,68.6,90.7,94.2,71.4,78.8,81.2,87.7,84.7,23
21,1/1/23,19.7,51.6,25.6,65.4,82,83.2,30.6,44.3,50.4,37.9,9.2,44.6,14.8,24
22,1/2/23,17.1,23.7,31.4,54.2,49,49.2,28.1,73.4,29.3,72.7,48.4,38.5,85.2,25
23,1/4/23,1.3,70.4,18.9,47.9,46.6,62.6,60.6,25.2,84.3,36.8,78.6,35.4,58.8,26
24,1/5/23,17,68.7,64.2,60.2,23.9,38.7,58.1,63.2,71,69,38.9,79.8,73,27
25,1/7/23,5.3,65.2,83.7,44.3,64.3,33.4,47.4,71,75.1,14,74.4,78.9,49.1,28
25,1/7/23,5.3,80.1,82,92.9,63.8,77.1,81.8,81.9,73.5,96.1,70.7,70.6,81.8,29
26,1/8/23,15.8,51.2,30.7,27.1,43.4,24.5,54.8,38.9,45.8,37.5,62,28.3,46.1,30
27,1/9/23,19.5,63.6,62.2,83.1,6.4,64.6,42.7,33.1,34.7,56.9,17.7,71.1,48.4,31
28,1/14/23,10.4,42.8,22.5,72.6,25.8,72.1,42.9,32.4,27.4,59.1,57.3,58.1,61.9,32
28,1/14/23,10.4,76.2,82.3,88.4,82.4,74.6,70.5,78.4,50,86.2,75.6,79.8,75.8,33
29,1/15/23,7.6,82.1,66.8,52.5,50,81.8,36.5,33.6,68.8,50,35.2,53.5,32,34
30,1/17/23,10.5,51.5,35.6,49.8,60.8,33.3,23.5,30.9,69.5,74.5,51.1,49,19.2,35
31,1/19/23,15.8,88.3,41.8,54.2,55.1,53.9,51.5,56.4,55.3,40.6,68.3,51.4,50.4,36
32,1/22/23,17.9,31.9,40.5,42.4,17.4,35.5,36.5,8.8,31.1,55.2,85.9,62.7,56.7,37
33,1/25/23,1.3,69.4,73.6,65,69.9,29.6,59.1,35.6,59.7,41.7,41.3,64.9,91.7,38
34,1/28/23,19.9,74.9,70.4,79.5,52.1,63,63.1,27.4,35.1,55.7,66.1,12.8,23.6,39
35,1/29/23,4.2,71.6,69.6,45.7,58.3,18,48.2,55.5,40.6,40,52.4,22.1,48.6,40
36,1/30/23,7.2,45,55.8,77.1,6.6,62.4,26,70.8,30.1,59.5,47.5,36.5,43.8,41
37,2/4/23,7.7,38.1,37.5,15,63.5,65.8,39.2,41.4,65.3,66.7,70.1,64.3,60.7,42
37,2/4/23,7.7,80.9,89.3,91.7,76.6,84.2,72.1,77,92.2,68,84.3,83.9,80.1,43
38,2/5/23,14.7,46.5,26.2,18.8,93,37.6,41.8,49.8,66.5,34.1,68.7,66.5,71.1,44
38,2/5/23,14.7,69.7,73.2,82.2,85.2,94.9,80.2,65.4,94.6,86.9,78.6,69.5,61.8,45
39,2/7/23,10,40.3,58.1,59.2,79.5,51.1,59.6,40,51.6,64,34.5,56.6,46.1,46
