question_id,time_stamp,time_spent_min,misc_1a,misc_1b,misc_1c,misc_2a,misc_2b,misc_3a,misc_3b,misc_3c,misc_4a,misc_4b,misc_5a,misc_6a
1,11/28/22,21.2,29.2,67.8,98.3,72.5,86.5,49.1,59.9,12.3,57.2,50.7,89.9,28
2,11/30/22,2.2,36,44.2,18.3,64.1,63.5,42.2,28.4,38,43.7,72.7,77.3,53.1
3,12/2/22,10.4,36.8,15.7,75,34.5,71.2,76.7,72.8,80.8,36.9,70.2,36.6,46.9
4,12/4/22,2.1,56.8,27.3,25.6,38.6,51.9,56.1,71.2,29.8,28.3,43.1,42.9,83.8
4,12/4/22,2.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,12/4/22,2.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,12/8/22,12.2,52.1,58.6,60.9,77.3,38.4,50.1,22.2,25.4,61.4,91.7,63.7,50.9
6,12/9/22,21.8,83.7,50,64.6,38.2,5.8,48.6,33.6,41.9,52.1,51,35.7,32.6
7,12/10/22,11.6,65.9,58.3,70.6,60.8,84.7,60.7,43.1,96.9,64.5,46.2,45.5,85.1
8,12/12/22,20.5,24.1,42.6,34.4,37.5,49.7,41.6,11.3,81.2,55.7,18.1,78.1,59.1
9,12/14/22,9.7,49.2,64.9,49.9,16.7,54,72.2,59.9,55.4,39.3,50.2,36.5,74.3
10,12/15/22,22.2,40.9,28.8,57.5,19.3,31.2,36.2,80.8,42.5,42.1,66.7,33.3,55.2
10,12/15/22,22.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,12/15/22,22.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,12/16/22,19.2,45.5,37.8,36.3,47.2,40,62.5,73.5,68.1,57,74.5,44.8,59.1
12,12/17/22,14.3,42.6,26.5,48.4,74.1,31.8,36.1,62.6,72,54.9,62.4,65,24.9
13,12/18/22,8.3,75.4,43.7,36.9,32,47.4,51.7,44.7,39.6,39.5,43,45.1,65.6
14,12/23/22,5.2,33.4,42.2,34.8,65.6,66.9,41.7,49.5,60.8,45.4,41,48,37.7
15,12/25/22,23.7,47.7,54.9,15.9,46.2,48.6,67.8,51.1,32.3,67.4,57,33.4,42.6
16,12/27/22,25.3,32.5,6.3,38.9,27.6,40.8,26.5,50.1,16.8,68,20.3,45.5,75.5
17,12/29/22,11.5,41.7,26.8,74.8,35.4,20.5,32.1,30.2,51.8,44.7,70,43.8,76.7
17,12/29/22,11.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17,12/29/22,11.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
18,12/31/22,24.4,50.2,69.5,48.3,46.2,60,79.4,37.1,30.1,64.7,91.1,75,58.3
19,1/2/23,15.2,83.6,60.6,63.4,77.3,83.8,67.3,24.9,73.4,39.9,42.7,47.4,57.1
20,1/4/23,26.6,40.2,25,59.5,23.2,50.5,53,48.1,19.7,97.9,19.5,45.9,45.2
21,1/5/23,5.8,77.1,28.8,86.7,37.8,64.6,30.2,49.6,64.9,65.6,29.6,29.3,49.1
22,1/6/23,6.8,63.7,77.4,73.3,56.2,16.8,41.7,65.7,62.9,33.6,26.1,12.7,58.1
