"","question_id","time_stamp","time_spent_min","misc_1a","misc_1b","misc_1c","misc_2a","misc_2b","misc_3a","misc_3b","misc_3c","misc_4a","misc_4b","misc_5a","misc_6a"
"1",1,2022-11-21,19.7,44.9,36,18.9,55.9,51.6,56.6,62.3,47,34.3,45.8,67.6,70.6
"2",2,2022-11-23,21.1,1.1,37.1,56.9,57.1,39.4,35.5,51.3,51.9,49.8,41.4,46,26.8
"3",3,2022-11-26,25.7,26.2,4.7,65.3,60.1,30.2,63.1,55.8,52,65.5,42.3,70.5,77.4
"4",4,2022-11-27,14.8,27.1,39.1,19.5,45.7,63.1,38.5,38.8,39.7,48.8,49.2,43.1,30.5
"5",5,2022-12-07,4.1,46.8,79,63.9,68.3,52.9,36.8,11.7,32.1,53,72.4,24.1,33.9
"6",6,2022-12-08,4.3,31.2,48.5,64.1,51.5,75.5,58.4,29.6,60.9,52.7,32.3,46.8,34.8
"7",7,2022-12-09,14.5,54.4,25.2,50.1,20.8,45.2,59.9,63,41.5,33.5,61,77.7,45.4
"8",8,2022-12-11,9.4,26.5,53.9,86.4,83.4,68.8,53.6,42.3,20.6,54.5,84.6,41.5,74.8
"9",9,2022-12-12,22.1,40.8,29.9,38.4,51.9,68.9,34.4,74.2,79.8,43.2,50.1,52.2,46.5
"91",9,2022-12-12,22.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"9.1",9,2022-12-12,22.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"10",10,2022-12-14,25.2,22.3,36.2,20.9,53.8,81.9,20.1,54.3,47.4,86.7,46.9,85.7,46.5
"11",11,2022-12-15,17.7,67.1,57.4,29.6,34.9,49.3,53.9,46.5,40.5,29.5,64.9,87.1,62.8
"12",12,2022-12-17,4.7,20.4,50.8,33.5,71.8,44,59.9,41.3,58,38.2,56.9,47.9,43.9
"121",12,2022-12-17,4.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"12.1",12,2022-12-17,4.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"13",13,2022-12-19,18.4,75.7,40.1,48.1,70.4,28.7,60.4,51.2,53.1,36,57.7,42.1,46.8
